comment0	Data must be within [0,1] and NOT in %.
comment1	Feel free to add the reflectance and transmittance spectra of your substrates. Set labels as '<substrate> R' and '<substrate> T'
ylabel	Transmittance, Reflectance [%]
xlabel	Wavelength [nm]
_spectrumguidark	True	True
_spectrumguioffset	True	True
_spectrumsubclass	CurveSpectrumReflectance	CurveSpectrumTransmittance
curve	Curve Spectrum	Curve Spectrum
label	SLG R	SLG T
nm	Reflectance [ ]	Transmittance [ ]
1278.0	0.077948548	0.921884
1280.0	0.077739235	0.921704861
1282.0	0.078023189	0.921358618
1284.0	0.078433924	0.9214621
1286.0	0.078207659	0.920863358
1288.0	0.078356158	0.921460786
1290.0	0.078004353	0.922154452
1292.0	0.078081113	0.922798655
1294.0	0.077659578	0.922600997
1296.0	0.077483937	0.922141626
1298.0	0.077827643	0.921501643
1300.0	0.077963048	0.921386731
1302.0	0.078201873	0.921592342
1304.0	0.078092017	0.922180869
1306.0	0.078348882	0.921866512
1308.0	0.078233601	0.921218252
1310.0	0.078329487	0.921106398
1312.0	0.078385938	0.921369644
1314.0	0.07856465	0.922049625
1316.0	0.078777849	0.921801428
1318.0	0.07871427	0.921681286
1320.0	0.07900469	0.921417579
1322.0	0.078641862	0.92118839
1324.0	0.078496573	0.921015326
1326.0	0.078661305	0.920186013
1328.0	0.079180274	0.920750511
1330.0	0.079196979	0.921160435
1332.0	0.079483924	0.92138899
1334.0	0.078609872	0.921617406
1336.0	0.078510047	0.921820027
1338.0	0.078028263	0.922556955
1340.0	0.078815533	0.922309003
1342.0	0.079222087	0.92266
1344.0	0.079102614	0.92273093
1346.0	0.078058256	0.923552691
1348.0	0.07822035	0.92259457
1350.0	0.078221162	0.922775581
1352.0	0.078362899	0.921884842
1354.0	0.077712171	0.92213398
1356.0	0.078052505	0.921938006
1358.0	0.07814363	0.92230556
1360.0	0.07836788	0.922175623
1362.0	0.077668128	0.921638484
1364.0	0.077766566	0.92151179
1366.0	0.077555662	0.922273771
1368.0	0.077580585	0.922882112
1370.0	0.077813716	0.922765182
1372.0	0.077997094	0.921751004
1374.0	0.078003639	0.921625878
1376.0	0.078057996	0.92139898
1378.0	0.078241391	0.922449359
1380.0	0.07936067	0.922221042
1382.0	0.078932735	0.922984339
1384.0	0.078731638	0.922621916
1386.0	0.078428381	0.921912076
1388.0	0.078553678	0.920806519
1390.0	0.078382729	0.920293649
1392.0	0.077518829	0.920572292
1394.0	0.077705022	0.920725405
1396.0	0.078068682	0.92118782
1398.0	0.078303384	0.921954971
1400.0	0.078708376	0.922076711
1402.0	0.078578529	0.923018701
1404.0	0.078774316	0.922519741
1406.0	0.078255465	0.922682388
1408.0	0.078252268	0.922143071
1410.0	0.07829224	0.922506152
1412.0	0.078350271	0.922303625
1414.0	0.07797663	0.922558677
1416.0	0.078023675	0.922285836
1418.0	0.0780527	0.922040109
1420.0	0.078063544	0.920677469
1422.0	0.077650176	0.921004973
1424.0	0.07791186	0.921899793
1426.0	0.078242871	0.923547794
1428.0	0.078778002	0.923542561
1430.0	0.078195128	0.922610846
1432.0	0.078371827	0.921624237
1434.0	0.077830004	0.9215679
1436.0	0.078497147	0.923185315
1438.0	0.078128945	0.922618613
1440.0	0.078229395	0.923119304
1442.0	0.078005395	0.921399597
1444.0	0.078404974	0.922247243
1446.0	0.078744417	0.922089682
1448.0	0.078354296	0.923475346
1450.0	0.077563211	0.923429704
1452.0	0.07700972	0.923277871
1454.0	0.077769521	0.922957213
1456.0	0.078161691	0.923270247
1458.0	0.078146876	0.922564915
1460.0	0.077744632	0.923045787
1462.0	0.077701644	0.922871189
1464.0	0.078486741	0.923704838
1466.0	0.078481157	0.924332082
1468.0	0.078206153	0.924169333
1470.0	0.078232942	0.924967484
1472.0	0.078077594	0.923503109
1474.0	0.079013282	0.925136466
1476.0	0.078433104	0.924997467
1478.0	0.077820043	0.925477064
1480.0	0.077666148	0.922884604
1482.0	0.077916842	0.922198332
1484.0	0.07847713	0.921682664
1486.0	0.077867849	0.923153357
1488.0	0.077825739	0.924512039
1490.0	0.077650763	0.925425735
1492.0	0.07777274	0.924915359
1494.0	0.077704679	0.923755678
1496.0	0.078444321	0.923794837
1498.0	0.078355503	0.924454451
1500.0	0.078477425	0.925084164
1502.0	0.077712977	0.92490589
1504.0	0.078074322	0.924322187
1506.0	0.077757941	0.923640918
1508.0	0.07737478	0.924004393
1510.0	0.077512833	0.924089415
1512.0	0.077266736	0.92447572
1514.0	0.077004149	0.924121682
1516.0	0.076282632	0.924803432
1518.0	0.076189782	0.924809342
1520.0	0.07726308	0.925019879
1522.0	0.077808902	0.924220363
1524.0	0.0781676	0.925065634
1526.0	0.078498484	0.925213744
1528.0	0.078339467	0.926092998
1530.0	0.078846137	0.92597014
1532.0	0.07757693	0.927139741
1534.0	0.077717236	0.926856559
1536.0	0.077490865	0.924541047
1538.0	0.078162136	0.924240784
1540.0	0.077962504	0.923905444
1542.0	0.077985865	0.925143613
1544.0	0.078911281	0.924158289
1546.0	0.079279963	0.924369288
1548.0	0.079872229	0.924871572
1550.0	0.079422496	0.924298438
1552.0	0.079509804	0.924232679
1554.0	0.07917823	0.92428601
1556.0	0.078962901	0.924292912
1558.0	0.079181275	0.925231727
1560.0	0.078541396	0.925425758
1562.0	0.078388745	0.92551164
1564.0	0.07724167	0.925660245
1566.0	0.076843005	0.926111936
1568.0	0.076152676	0.925412721
1570.0	0.076892073	0.924344369
1572.0	0.077528668	0.923255857
1574.0	0.078081379	0.925547164
1576.0	0.076785284	0.926097068
1578.0	0.075233333	0.926967752
1580.0	0.074525874	0.925834934
1582.0	0.074160707	0.926008584
1584.0	0.075167027	0.923707579
1586.0	0.075356625	0.92328542
1588.0	0.076210817	0.920707495
1590.0	0.076690983	0.924364868
1592.0	0.077406794	0.923883325
1594.0	0.077033392	0.925872605
1596.0	0.076810548	0.924008222
1598.0	0.076145329	0.924839099
1600.0	0.077188829	0.925219676
1602.0	0.076956427	0.926089456
1604.0	0.077240105	0.926440609
1606.0	0.077014421	0.924096546
1608.0	0.076794283	0.923475935
1610.0	0.076272312	0.923130226
1612.0	0.076521078	0.925296526
1614.0	0.078359088	0.923424961
1616.0	0.078598005	0.923933427
1618.0	0.077711479	0.92261233
1620.0	0.077030114	0.923715856
1622.0	0.077339959	0.924262551
1624.0	0.078033323	0.924489562
1626.0	0.078361882	0.924899765
1628.0	0.078084966	0.923108965
1630.0	0.078378718	0.925199312
1632.0	0.076537743	0.923891531
1634.0	0.077148488	0.924698112
1636.0	0.077321934	0.923697743
1638.0	0.07717523	0.92544221
1640.0	0.077132155	0.923658997
1642.0	0.075936018	0.923536641
1644.0	0.077090602	0.921232412
1646.0	0.076390221	0.922954257
1648.0	0.077155168	0.922336147
1650.0	0.076413853	0.92439212
1652.0	0.076983353	0.926398815
1654.0	0.076494443	0.924878819
1656.0	0.076055294	0.924596229
1658.0	0.074554641	0.921960258
1660.0	0.074974437	0.922247636
1662.0	0.076026702	0.924468602
1664.0	0.077030545	0.924133087
1666.0	0.078145448	0.925136392
1668.0	0.078191959	0.923092045
1670.0	0.078349125	0.924119657
1672.0	0.078300453	0.924038773
1674.0	0.078210734	0.924035707
1676.0	0.07889873	0.925539202
1678.0	0.077841996	0.926544624
1680.0	0.078234386	0.926858126
1682.0	0.077823944	0.924110099
1684.0	0.077612544	0.924179234
1686.0	0.077723102	0.924297454
1688.0	0.078462904	0.925353967
1690.0	0.078931424	0.925160932
1692.0	0.077556578	0.924720347
1694.0	0.077421516	0.923977824
1696.0	0.076888435	0.925049404
1698.0	0.076490716	0.925019324
1700.0	0.076738118	0.928541829
1702.0	0.076931006	0.928498317
1704.0	0.078791435	0.92772491
1706.0	0.075501728	0.92716656
1708.0	0.072726834	0.924951364
1710.0	0.07328808	0.925354408
1712.0	0.075406493	0.920726244
1714.0	0.078346471	0.921054307
1716.0	0.077465202	0.922033458
1718.0	0.078337871	0.92319593
1720.0	0.077986551	0.920704539
1722.0	0.078687993	0.918159186
1724.0	0.079522857	0.91847838
1726.0	0.079447875	0.920555241
1728.0	0.079822309	0.921824215
1730.0	0.077547693	0.922123408
